,left-weight,left-distance,right-weight,right-distance,class
0,1.0,1.0,1.0,1.0,1
1,1.0,1.0,1.0,2.0,2
2,1.0,1.0,1.0,3.0,2
3,1.0,1.0,1.0,4.0,2
4,1.0,1.0,1.0,5.0,2
5,1.0,1.0,2.0,1.0,2
6,1.0,1.0,2.0,2.0,2
7,1.0,1.0,2.0,3.0,2
8,1.0,1.0,2.0,4.0,2
9,1.0,1.0,2.0,5.0,2
10,1.0,1.0,3.0,1.0,2
11,1.0,1.0,3.0,2.0,2
12,1.0,1.0,3.0,3.0,2
13,1.0,1.0,3.0,4.0,2
14,1.0,1.0,3.0,5.0,2
15,1.0,1.0,4.0,1.0,2
16,1.0,1.0,4.0,2.0,2
17,1.0,1.0,4.0,3.0,2
18,1.0,1.0,4.0,4.0,2
19,1.0,1.0,4.0,5.0,2
20,1.0,1.0,5.0,1.0,2
21,1.0,1.0,5.0,2.0,2
22,1.0,1.0,5.0,3.0,2
23,1.0,1.0,5.0,4.0,2
24,1.0,1.0,5.0,5.0,2
25,1.0,2.0,1.0,1.0,0
26,1.0,2.0,1.0,2.0,1
27,1.0,2.0,1.0,3.0,2
28,1.0,2.0,1.0,4.0,2
29,1.0,2.0,1.0,5.0,2
30,1.0,2.0,2.0,1.0,1
31,1.0,2.0,2.0,2.0,2
32,1.0,2.0,2.0,3.0,2
33,1.0,2.0,2.0,4.0,2
34,1.0,2.0,2.0,5.0,2
35,1.0,2.0,3.0,1.0,2
36,1.0,2.0,3.0,2.0,2
37,1.0,2.0,3.0,3.0,2
38,1.0,2.0,3.0,4.0,2
39,1.0,2.0,3.0,5.0,2
40,1.0,2.0,4.0,1.0,2
41,1.0,2.0,4.0,2.0,2
42,1.0,2.0,4.0,3.0,2
43,1.0,2.0,4.0,4.0,2
44,1.0,2.0,4.0,5.0,2
45,1.0,2.0,5.0,1.0,2
46,1.0,2.0,5.0,2.0,2
47,1.0,2.0,5.0,3.0,2
48,1.0,2.0,5.0,4.0,2
49,1.0,2.0,5.0,5.0,2
50,1.0,3.0,1.0,1.0,0
51,1.0,3.0,1.0,2.0,0
52,1.0,3.0,1.0,3.0,1
53,1.0,3.0,1.0,4.0,2
54,1.0,3.0,1.0,5.0,2
55,1.0,3.0,2.0,1.0,0
56,1.0,3.0,2.0,2.0,2
57,1.0,3.0,2.0,3.0,2
58,1.0,3.0,2.0,4.0,2
59,1.0,3.0,2.0,5.0,2
60,1.0,3.0,3.0,1.0,1
61,1.0,3.0,3.0,2.0,2
